order,ObjectID,ObjectName,CollectionID,Collection,DateBeginYear,DateEndYear,DateText,Title,Classification,Creator,PrimaryImage
0,61,drawings (visual works),7,18th and 19th Century Art,1854,1854,1854,Temptation on the Mount,Painting & Drawing,"Jean-Marie Saint-Eve (French, 1810-1856)",http://static.thewalters.org/images/PL7_37.916_Fnt_NF_T83-tms.jpg
1,86,snuffboxes; mosaics,7,18th and 19th Century Art,1825,1875,mid 19th century,Snuffbox with Mosaic of a Seated Dog,Mosaics & Cosmati,Venetian (Italian),http://static.thewalters.org/images/PL9_43.10_Fnt_SL_T.jpg
2,103,oil paintings (visual works),8,Renaissance and Baroque Art,1508,1513,1508-1513,Holy Family with Zacharias and the Young Saint John the Baptist,Painting & Drawing,"Francesco Rizzo da Santacroce (Italian, active late 15th-early 16th century)",http://static.thewalters.org/images/PL7_37.569_Fnt_BW.jpg
3,115,color woodcuts,1,East Asian Art,1838,1862,ca. 1850,Green Grocer Hanbei Traveling in the Country,Prints,"Sadanobu I (Japanese, 1809-1879)",http://static.thewalters.org/images/PS3_95.736_Fnt_DD_JP09.jpg
4,130,color woodcuts,1,East Asian Art,1864,1864,1864,Chushin gishi meimei den,Prints,"Yoshitora (Japanese, active ca. 1850-1880)",http://static.thewalters.org/images/PS3_95.823_Fnt_DD_JP09.jpg
5,155,watercolors (paintings),7,18th and 19th Century Art,1858,1860,1858-1860,Indian Girl with Papoose Crossing Stream,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.1940.14_Fnt_DD_KI13.jpg
6,178,panel paintings,8,Renaissance and Baroque Art,1481,1507,ca. 1493-1495,Sulpicia,Painting & Drawing,"Pietro di Francesco degli Orioli (Italian, 1458-1496)",http://static.thewalters.org/images/ARG_37.616_Fnt_UK.jpg
7,182,paintings,8,Renaissance and Baroque Art,1488,1512,ca. 1500,Portrait Bust of Perugino,Painting & Drawing,Venetian (Italian),http://static.thewalters.org/images/PL7_37.1060_Fnt_BW.jpg
8,213,paintings,65,South and Southeast Asian Art,1875,1900,late 19th century,"Vessantara Jataka, Chapter 7: Jujaka and the Hermit Accala",Painting & Drawing,Thai,http://static.thewalters.org/images/PS1_35.236_Fnt_DD_T12.jpg
9,214,albums (books); drawings,7,18th and 19th Century Art,1855,1859,1855-1859,Mrs. Keller as the Goddess of Liberty,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2453.40_Fnt_DD_KI13.jpg
10,231,paintings,65,South and Southeast Asian Art,1830,1860,1830-1860,"Vessantara Jataka, Chapter 13 (The Return to the Captial)",Painting & Drawing,Thai,http://static.thewalters.org/images/PS1_35.276_Fnt_DD_T12.jpg
11,238,paintings,8,Renaissance and Baroque Art,1515,1525,1515-1525,Rest on the Flight into Egypt,Painting & Drawing,"Master of the Mansi Magdalen (Netherlandish, active 1510-1525)",http://static.thewalters.org/images/PL9_37.389_Fnt_SL_C80.jpg
12,254,drawings (visual works),7,18th and 19th Century Art,1860,1860,1860,Old Woman Leaning on a Stick,Painting & Drawing,"Ludwig Knaus (German, 1829-1910)",http://static.thewalters.org/images/PS1_37.1245_Fnt_DD_T10.jpg
13,258,color woodcuts,1,East Asian Art,1878,1878,1878,Dai Nippon meisho kagami,Prints,"Taiso Yoshitoshi (Japanese, 1839-1892)",http://static.thewalters.org/images/PS3_95.612_Fnt_DD_JP09.jpg
14,282,albums (books); paintings; folios (leaves),1,East Asian Art,1876,1876,1876,"Leaf from Album Depicting Birds, Flowers, Landscapes, and Flower Pots",Painting & Drawing,"Yoshizawa Setsuan (Japanese, 1809-1889)",http://static.thewalters.org/images/PS3_35.174.9A_Fnt_DD_T09.jpg
15,283,oil paintings (visual works),8,Renaissance and Baroque Art,1650,1700,1650-1700,The Magnanimity of Scipio,Painting & Drawing,Venetian (Italian),http://static.thewalters.org/images/PL7_37.1804_Fnt_BW.jpg
16,288,paintings,7,18th and 19th Century Art,1800,1899,19th century,Fashionable Woman at Prayer,Painting & Drawing,F. Kommerer,http://static.thewalters.org/images/PS1_37.1399_Fnt_DD_T09.jpg
17,292,paintings; portraits,8,Renaissance and Baroque Art,1617,1617,1617,Portrait of a Noblewoman,Painting & Drawing,Flemish,http://static.thewalters.org/images/PS1_37.377_FntA_DD_T15-tms.jpg
18,299,watercolors (paintings),7,18th and 19th Century Art,1840,1890,ca. 1865,Landscape with Cottage,Painting & Drawing,"Th\xc3\xa9odore Rousseau (French, 1812-1867)",http://static.thewalters.org/images/PL1_37.966_Fnt_TR_T99I.jpg
19,312,paintings,8,Renaissance and Baroque Art,1601,1700,17th century,Figures Beneath the Walls of a City,Painting & Drawing,Venetian (Italian) (?),http://static.thewalters.org/images/PL7_37.749_Fnt_BW.jpg
20,320,paintings,8,Renaissance and Baroque Art,1601,1700,17th century,Portrait Bust of Inigo Jones,Painting & Drawing,"Copy after Anthony van Dyck (Flemish, 1599-1641)",http://static.thewalters.org/images/PL7_37.803_Fnt_BW_H77.jpg
21,333,watercolors (paintings),7,18th and 19th Century Art,1861,1861,1861,"Certaldo, June 6th, '61",Painting & Drawing,"Samuel Colman (American, 1832 - 1920) (?)",http://static.thewalters.org/images/PS3_37.1546_Fnt_DD_KI13.jpg
22,334,watercolors (paintings),7,18th and 19th Century Art,1847,1847,1847,Soldier's Experience,Painting & Drawing,"Richard Caton Woodville (American, 1825-1855)",http://static.thewalters.org/images/PS1_37.945_Fnt_DD_T09.jpg
23,342,pendants; panel paintings; icons,16,African Art,1675,1700,late 17th century,Double-sided Diptych with Mary at Dabra Metmaq (Front); Saints (Back),Painting & Drawing,Ethiopian,http://static.thewalters.org/images/PL1_36.8_SideA_TR_T01II.jpg
24,344,paintings,8,Renaissance and Baroque Art,1430,1450,1430-1450,Madonna and Child,Painting & Drawing,"Francesco Squarcione (Italian, ca. 1395-after 1468)",http://static.thewalters.org/images/PL1_37.519_Fnt_TR_T90II.jpg
25,355,drawings (visual works),7,18th and 19th Century Art,1835,1835,1835,Lion and Tortoise,Painting & Drawing,"Eug\xc3\xa8ne Delacroix (French, 1798-1863)",http://static.thewalters.org/images/PL7_37.1220_Fnt_BW_6057.jpg
26,369,paintings,8,Renaissance and Baroque Art,1653,1677,ca. 1665,"""Vanitas"" Still Life",Painting & Drawing,"Adam Bernaert (Dutch, active ca. 1660-1669)",http://static.thewalters.org/images/PL9_37.682_Fnt_SL_C80.jpg
27,382,paintings,7,18th and 19th Century Art,1828,1852,ca. 1840,Portrait of Antoine,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS1_37.2573_Fnt_DD_T08.jpg
